,,PM2.5,PM10,CO,NO2,SO2,O3,time
3535,3535,,,,,,,2019/4/10 17:00
3536,3536,,,,,,,2019/4/10 18:00
3537,3537,,,,,,,2019/4/10 19:00
3538,3538,,,,,,,2019/4/10 20:00
3539,3539,,,,,,,2019/4/10 21:00
3540,3540,,,,,,,2019/4/10 22:00
3541,3541,,,,,,,2019/4/10 23:00
3542,3542,,,,,,,2019/4/11 0:00
3543,3543,,,,,,,2019/4/11 1:00
3544,3544,,,,,,,2019/4/11 2:00
3545,3545,,,,,,,2019/4/11 3:00
3546,3546,,,,,,,2019/4/11 4:00
3547,3547,,,,,,,2019/4/11 5:00
3548,3548,,,,,,,2019/4/11 6:00
3549,3549,,,,,,,2019/4/11 7:00
3550,3550,,,,,,,2019/4/11 8:00
3551,3551,,,,,,,2019/4/11 9:00
3552,3552,,,,,,,2019/4/11 10:00
3553,3553,25,30,0.42,11,15,131,2019/4/11 11:00
3554,3554,16,28,0.43,11,15,136,2019/4/11 12:00
3555,3555,27,32,0.47,16,15,137,2019/4/11 13:00
3556,3556,22,29,0.46,18,15,137,2019/4/11 14:00
3557,3557,25,38,0.45,25,15,135,2019/4/11 15:00
3558,3558,25,40,0.46,28,14,127,2019/4/11 16:00
3559,3559,29,35,0.76,55,16,99,2019/4/11 17:00
3560,3560,43,104,0.74,47,16,90,2019/4/11 18:00
3561,3561,30,58,0.77,40,16,90,2019/4/11 19:00
3562,3562,44,49,0.91,50,17,76,2019/4/11 20:00
3563,3563,45,66,1.07,67,16,46,2019/4/11 21:00
3564,3564,48,73,0.94,86,16,20,2019/4/11 22:00
3565,3565,53,76,1.05,82,15,7,2019/4/11 23:00
3566,3566,50,67,1.32,73,14,3,2019/4/12 0:00
3567,3567,56,63,1.06,69,14,3,2019/4/12 1:00
3568,3568,49,71,0.95,67,14,3,2019/4/12 2:00
3569,3569,54,72,1.06,65,14,4,2019/4/12 3:00
3570,3570,57,90,0.84,64,13,8,2019/4/12 4:00
3571,3571,59,80,1.02,65,14,6,2019/4/12 5:00
3572,3572,64,95,0.96,56,15,25,2019/4/12 6:00
3573,3573,69,88,0.9,45,16,49,2019/4/12 7:00
3574,3574,64,90,0.66,27,14,88,2019/4/12 8:00
3575,3575,48,68,0.7,30,13,94,2019/4/12 9:00
3576,3576,52,70,0.73,28,13,105,2019/4/12 10:00
3577,3577,60,65,0.74,29,13,113,2019/4/12 11:00
3578,3578,59,75,0.8,28,14,132,2019/4/12 12:00
3579,3579,63,80,0.86,30,17,179,2019/4/12 13:00
3580,3580,73,96,0.76,29,16,178,2019/4/12 14:00
3581,3581,58,83,0.71,25,14,160,2019/4/12 15:00
3582,3582,40,73,0.68,24,14,159,2019/4/12 16:00
3583,3583,46,74,0.71,29,14,139,2019/4/12 17:00
3584,3584,,,,,,,2019/4/12 18:00
3585,3585,,,,,,,2019/4/12 19:00
3586,3586,66,86,0.83,39,16,120,2019/4/12 20:00
3587,3587,63,82,0.88,50,16,100,2019/4/12 21:00
3588,3588,,,,,,,2019/4/12 22:00
3589,3589,,,,,,,2019/4/12 23:00
3590,3590,70,94,0.78,37,16,83,2019/4/13 0:00
3591,3591,93,106,0.7,33,16,76,2019/4/13 1:00
3592,3592,,,,,,,2019/4/13 2:00
3593,3593,61,78,0.6,24,16,72,2019/4/13 3:00
3594,3594,53,81,0.55,23,16,72,2019/4/13 4:00
3595,3595,,,,,,,2019/4/13 5:00
3596,3596,,,,,,,2019/4/13 6:00
3597,3597,44,69,0.58,32,18,80,2019/4/13 7:00
3598,3598,48,66,0.59,34,19,97,2019/4/13 8:00
3599,3599,47,78,0.67,39,19,98,2019/4/13 9:00
3600,3600,48,80,0.62,27,17,134,2019/4/13 10:00
3601,3601,52,80,0.56,22,16,159,2019/4/13 11:00
3602,3602,52,70,0.52,19,15,172,2019/4/13 12:00
3603,3603,38,63,0.46,16,15,187,2019/4/13 13:00
3604,3604,38,62,0.44,16,15,196,2019/4/13 14:00
3605,3605,35,62,0.46,21,14,190,2019/4/13 15:00
3606,3606,38,60,0.5,25,15,178,2019/4/13 16:00
3607,3607,41,68,0.6,31,15,165,2019/4/13 17:00
3608,3608,45,74,0.74,45,15,130,2019/4/13 18:00
3609,3609,48,88,0.93,72,15,83,2019/4/13 19:00
3610,3610,58,90,1.06,93,14,46,2019/4/13 20:00
3611,3611,57,99,0.85,83,16,63,2019/4/13 21:00
3612,3612,,,,,,,2019/4/13 22:00
3613,3613,,,,,,,2019/4/13 23:00
3614,3614,63,96,1.16,104,14,6,2019/4/14 0:00
3615,3615,54,91,1.24,87,14,8,2019/4/14 1:00
3616,3616,57,77,0.93,68,13,19,2019/4/14 2:00
3617,3617,54,71,0.94,58,13,20,2019/4/14 3:00
3618,3618,59,72,1.01,70,14,15,2019/4/14 4:00
3619,3619,62,93,1.29,85,16,4,2019/4/14 5:00
3620,3620,,,,,,,2019/4/14 6:00
3621,3621,,,,,,,2019/4/14 7:00
3622,3622,,,,,,,2019/4/14 8:00
3623,3623,,,,,,,2019/4/14 9:00
3624,3624,,,,,,,2019/4/14 10:00
3625,3625,44,985,0.62,16,16,118,2019/4/14 11:00
3626,3626,,,,,,,2019/4/14 12:00
3627,3627,,,,,,,2019/4/14 13:00
3628,3628,25,66,0.48,12,13,134,2019/4/14 14:00
3629,3629,14,51,0.52,10,14,136,2019/4/14 15:00
3630,3630,,,,,,,2019/4/14 16:00
3631,3631,40,46,0.68,17,14,135,2019/4/14 17:00
3632,3632,33,60,0.64,22,14,122,2019/4/14 18:00
3633,3633,38,66,0.66,32,13,106,2019/4/14 19:00
3634,3634,32,54,0.78,45,14,83,2019/4/14 20:00
3635,3635,,,,,,,2019/4/14 21:00
3636,3636,37,56,0.85,60,16,50,2019/4/14 22:00
3637,3637,,,,,,,2019/4/14 23:00
3638,3638,,,,,,,2019/4/15 0:00
3639,3639,46,75,0.74,43,16,48,2019/4/15 1:00
3640,3640,47,68,0.77,35,15,51,2019/4/15 2:00
3641,3641,55,73,0.76,29,15,56,2019/4/15 3:00
3642,3642,62,82,0.96,38,15,42,2019/4/15 4:00
3643,3643,73,99,1.47,44,17,38,2019/4/15 5:00
3644,3644,85,108,1.21,44,20,58,2019/4/15 6:00
3645,3645,77,118,0.9,35,20,82,2019/4/15 7:00
3646,3646,67,101,0.51,18,16,108,2019/4/15 8:00
3647,3647,25,74,0.5,12,15,125,2019/4/15 9:00
3648,3648,37,66,0.54,13,14,127,2019/4/15 10:00
3649,3649,26,55,0.41,11,13,133,2019/4/15 11:00
3650,3650,18,46,0.41,14,14,129,2019/4/15 12:00
3651,3651,23,48,0.36,11,13,143,2019/4/15 13:00
3652,3652,,,,,,,2019/4/15 14:00
3653,3653,19,42,0.35,11,13,135,2019/4/15 15:00
3654,3654,14,37,0.53,18,16,146,2019/4/15 16:00
3655,3655,26,60,0.7,26,18,148,2019/4/15 17:00
3656,3656,,,,,,,2019/4/15 18:00
3657,3657,28,71,0.58,27,18,153,2019/4/15 19:00
3658,3658,42,80,0.45,24,17,135,2019/4/15 20:00
3659,3659,30,57,0.42,25,16,118,2019/4/15 21:00
3660,3660,27,57,0.42,29,16,100,2019/4/15 22:00
3661,3661,19,38,0.43,29,16,88,2019/4/15 23:00
3662,3662,,,,,,,2019/4/16 0:00
3663,3663,27,44,0.54,29,16,78,2019/4/16 1:00
3664,3664,26,49,0.6,35,16,67,2019/4/16 2:00
3665,3665,23,57,0.64,48,16,50,2019/4/16 3:00
3666,3666,29,70,0.68,54,16,41,2019/4/16 4:00
3667,3667,29,78,0.76,76,17,23,2019/4/16 5:00
3668,3668,29,108,0.81,57,19,41,2019/4/16 6:00
3669,3669,32,81,1.21,54,20,48,2019/4/16 7:00
3670,3670,28,93,0.84,56,20,49,2019/4/16 8:00
3671,3671,33,87,1.06,57,26,62,2019/4/16 9:00
3672,3672,40,93,1.15,58,29,76,2019/4/16 10:00
3673,3673,50,116,1.13,51,27,95,2019/4/16 11:00
3674,3674,,,,,,,2019/4/16 12:00
3675,3675,,,,,,,2019/4/16 13:00
3676,3676,,,,,,,2019/4/16 14:00
3677,3677,,,,,,,2019/4/16 15:00
3678,3678,,,,,,,2019/4/16 16:00
3679,3679,,,,,,,2019/4/16 17:00
3680,3680,,,,,,,2019/4/16 18:00
3681,3681,,,,,,,2019/4/16 19:00
3682,3682,,,,,,,2019/4/16 20:00
3683,3683,,,,,,,2019/4/16 21:00
3684,3684,,,,,,,2019/4/16 22:00
3685,3685,,,,,,,2019/4/16 23:00
3686,3686,,,,,,,2019/4/17 0:00
3687,3687,95,98,1.23,46,6,21,2019/4/17 1:00
3688,3688,84,96,1.16,57,5,13,2019/4/17 2:00
3689,3689,76,90,1.12,58,4,10,2019/4/17 3:00
3690,3690,72,102,1.1,74,6,8,2019/4/17 4:00
3691,3691,75,106,1.16,72,9,10,2019/4/17 5:00
3692,3692,80,117,1.16,69,11,15,2019/4/17 6:00
3693,3693,80,122,1.2,72,13,27,2019/4/17 7:00
3694,3694,92,149,1.34,57,16,52,2019/4/17 8:00
3695,3695,82,126,1.36,42,16,80,2019/4/17 9:00
3696,3696,65,101,1.18,37,12,97,2019/4/17 10:00
3697,3697,47,105,0.8,13,5,128,2019/4/17 11:00
3698,3698,,,,,,,2019/4/17 12:00
3699,3699,,,,,,,2019/4/17 13:00
3700,3700,,,,,,,2019/4/17 14:00
3701,3701,40,87,0.92,21,9,166,2019/4/17 15:00
3702,3702,,,,,,,2019/4/17 16:00
3703,3703,,,,,,,2019/4/17 17:00
3704,3704,38,103,1.29,71,13,86,2019/4/17 18:00
3705,3705,,,,,,,2019/4/17 19:00
3706,3706,48,115,1.19,91,14,53,2019/4/17 20:00
3707,3707,44,114,1.14,54,16,90,2019/4/17 21:00
3708,3708,,,,,,,2019/4/17 22:00
3709,3709,,,,,,,2019/4/17 23:00
3710,3710,64,110,1.18,90,17,42,2019/4/18 0:00
3711,3711,65,118,1.14,91,19,36,2019/4/18 1:00
3712,3712,,,,,,,2019/4/18 2:00
3713,3713,80,114,1.18,66,21,45,2019/4/18 3:00
3714,3714,86,124,1.21,65,19,35,2019/4/18 4:00
3715,3715,83,127,1.27,60,20,36,2019/4/18 5:00
3716,3716,89,143,1.23,57,23,46,2019/4/18 6:00
3717,3717,,,,,,,2019/4/18 7:00
3718,3718,57,103,1.02,39,20,84,2019/4/18 8:00
3719,3719,44,87,1,36,19,99,2019/4/18 9:00
3720,3720,44,89,0.97,24,17,123,2019/4/18 10:00
3721,3721,29,71,0.94,12,17,156,2019/4/18 11:00
3722,3722,30,61,0.98,15,18,172,2019/4/18 12:00
3723,3723,25,65,1.18,26,23,168,2019/4/18 13:00
3724,3724,25,71,0.9,16,16,199,2019/4/18 14:00
3725,3725,32,62,0.9,24,16,190,2019/4/18 15:00
3726,3726,33,68,0.98,33,16,155,2019/4/18 16:00
3727,3727,27,69,1.24,51,16,108,2019/4/18 17:00
3728,3728,40,83,1.33,40,21,145,2019/4/18 18:00
3729,3729,46,101,1.41,61,22,112,2019/4/18 19:00
3730,3730,53,101,1.6,82,21,73,2019/4/18 20:00
3731,3731,59,109,1.44,56,25,112,2019/4/18 21:00
3732,3732,52,100,1.47,61,26,102,2019/4/18 22:00
3733,3733,60,105,1.46,71,25,86,2019/4/18 23:00
3734,3734,63,113,1.77,74,31,58,2019/4/19 0:00
3735,3735,79,141,1.36,42,24,73,2019/4/19 1:00
3736,3736,71,92,1.2,27,21,87,2019/4/19 2:00
3737,3737,67,73,1.12,26,18,72,2019/4/19 3:00
3738,3738,76,94,1.14,25,17,70,2019/4/19 4:00
3739,3739,77,94,1.08,23,17,80,2019/4/19 5:00
3740,3740,67,79,1.13,25,16,81,2019/4/19 6:00
3741,3741,,,,,,,2019/4/19 7:00
3742,3742,57,85,1.11,24,21,83,2019/4/19 8:00
3743,3743,45,70,1.05,24,21,91,2019/4/19 9:00
3744,3744,52,81,1.07,21,19,103,2019/4/19 10:00
3745,3745,48,82,1.08,20,19,109,2019/4/19 11:00
3746,3746,40,73,0.94,17,19,115,2019/4/19 12:00
3747,3747,35,57,0.99,16,19,113,2019/4/19 13:00
3748,3748,,,,,,,2019/4/19 14:00
3749,3749,30,56,1.04,23,23,110,2019/4/19 15:00
3750,3750,35,57,1.04,25,22,98,2019/4/19 16:00
3751,3751,38,58,1,28,21,91,2019/4/19 17:00
3752,3752,,,,,,,2019/4/19 18:00
3753,3753,21,55,1.02,23,20,81,2019/4/19 19:00
3754,3754,,,,,,,2019/4/19 20:00
3755,3755,,,,,,,2019/4/19 21:00
3756,3756,,,,,,,2019/4/19 22:00
3757,3757,49,69,1.08,21,20,66,2019/4/19 23:00
3758,3758,60,80,1.04,19,20,64,2019/4/20 0:00
3759,3759,64,69,0.97,22,21,55,2019/4/20 1:00
3760,3760,,,,,,,2019/4/20 2:00
3761,3761,,,,,,,2019/4/20 3:00
3762,3762,56,88,1.06,22,21,44,2019/4/20 4:00
3763,3763,,,,,,,2019/4/20 5:00
3764,3764,,,,,,,2019/4/20 6:00
3765,3765,64,86,1.23,32,22,28,2019/4/20 7:00
3766,3766,,,,,,,2019/4/20 8:00
3767,3767,,,,,,,2019/4/20 9:00
3768,3768,51,77,1.49,40,24,28,2019/4/20 10:00
3769,3769,,,,,,,2019/4/20 11:00
3770,3770,,,,,,,2019/4/20 12:00
3771,3771,47,64,1.36,30,24,80,2019/4/20 13:00
3772,3772,,,,,,,2019/4/20 14:00
3773,3773,,,,,,,2019/4/20 15:00
3774,3774,,,,,,,2019/4/20 16:00
3775,3775,,,,,,,2019/4/20 17:00
3776,3776,,,,,,,2019/4/20 18:00
3777,3777,47,53,0.88,29,9,64,2019/4/20 19:00
3778,3778,33,45,0.79,26,10,71,2019/4/20 20:00
3779,3779,,,,,,,2019/4/20 21:00
3780,3780,28,41,0.84,42,8,47,2019/4/20 22:00
3781,3781,35,48,0.77,37,9,40,2019/4/20 23:00
3782,3782,28,41,0.74,40,8,30,2019/4/21 0:00
3783,3783,22,56,0.72,33,8,29,2019/4/21 1:00
3784,3784,21,39,0.66,21,9,36,2019/4/21 2:00
3785,3785,22,38,0.74,19,9,37,2019/4/21 3:00
3786,3786,25,42,0.67,20,9,35,2019/4/21 4:00
3787,3787,,,,,,,2019/4/21 5:00
3788,3788,28,51,0.8,38,10,22,2019/4/21 6:00
3789,3789,33,66,1,41,11,22,2019/4/21 7:00
3790,3790,,,,,,,2019/4/21 8:00
3791,3791,,,,,,,2019/4/21 9:00
3792,3792,61,79,1.21,48,10,28,2019/4/21 10:00
3793,3793,,,,,,,2019/4/21 11:00
3794,3794,,,,,,,2019/4/21 12:00
3795,3795,49,63,0.92,32,9,26,2019/4/21 13:00
3796,3796,,,,,,,2019/4/21 14:00
3797,3797,,,,,,,2019/4/21 15:00
3798,3798,,,,,,,2019/4/21 16:00
3799,3799,,,,,,,2019/4/21 17:00
3800,3800,,,,,,,2019/4/21 18:00
3801,3801,21,23,0.63,43,9,9,2019/4/21 19:00
3802,3802,,,,,,,2019/4/21 20:00
3803,3803,,,,,,,2019/4/21 21:00
3804,3804,,,,,,,2019/4/21 22:00
3805,3805,34,37,0.65,26,9,18,2019/4/21 23:00
3806,3806,,,,,,,2019/4/22 0:00
3807,3807,,,,,,,2019/4/22 1:00
3808,3808,25,26,0.47,15,9,28,2019/4/22 2:00
3809,3809,,,,,,,2019/4/22 3:00
3810,3810,20,25,0.46,15,9,26,2019/4/22 4:00
3811,3811,18,20,0.48,16,9,26,2019/4/22 5:00
3812,3812,,,,,,,2019/4/22 6:00
3813,3813,,,,,,,2019/4/22 7:00
3814,3814,34,36,0.61,24,10,21,2019/4/22 8:00
3815,3815,31,38,0.61,22,10,32,2019/4/22 9:00
3816,3816,34,38,0.69,23,10,38,2019/4/22 10:00
3817,3817,37,49,0.89,27,10,37,2019/4/22 11:00
3818,3818,,,,,,,2019/4/22 12:00
3819,3819,,,,,,,2019/4/22 13:00
3820,3820,36,45,0.98,28,11,57,2019/4/22 14:00
3821,3821,41,52,0.98,41,11,43,2019/4/22 15:00
3822,3822,44,57,0.99,41,12,33,2019/4/22 16:00
3823,3823,55,82,1.07,48,12,20,2019/4/22 17:00
3824,3824,58,70,0.92,40,12,22,2019/4/22 18:00
3825,3825,42,58,0.99,46,12,11,2019/4/22 19:00
3826,3826,,,,,,,2019/4/22 20:00
3827,3827,,,,,,,2019/4/22 21:00
3828,3828,28,37,0.99,49,12,4,2019/4/22 22:00
3829,3829,,,,,,,2019/4/22 23:00
3830,3830,20,20,0.99,44,12,3,2019/4/23 0:00
3831,3831,,,,,,,2019/4/23 1:00
3832,3832,24,25,0.97,44,13,3,2019/4/23 2:00
3833,3833,,,,,,,2019/4/23 3:00
3834,3834,,,,,,,2019/4/23 4:00
3835,3835,22,22,1.08,40,15,3,2019/4/23 5:00
3836,3836,30,29,1.06,32,14,4,2019/4/23 6:00
3837,3837,53,52,1.06,28,13,5,2019/4/23 7:00
3838,3838,49,78,1.06,28,14,8,2019/4/23 8:00
3839,3839,51,55,1.07,27,13,19,2019/4/23 9:00
3840,3840,37,48,0.99,24,14,27,2019/4/23 10:00
3841,3841,,,,,,,2019/4/23 11:00
3842,3842,,,,,,,2019/4/23 12:00
3843,3843,,,,,,,2019/4/23 13:00
3844,3844,19,39,0.92,22,5,42,2019/4/23 14:00
3845,3845,34,42,0.97,26,6,41,2019/4/23 15:00
3846,3846,,,,,,,2019/4/23 16:00
3847,3847,33,47,1.06,41,6,27,2019/4/23 17:00
3848,3848,37,54,1.23,50,5,15,2019/4/23 18:00
3849,3849,,,,,,,2019/4/23 19:00
3850,3850,,,,,,,2019/4/23 20:00
3851,3851,38,52,1.24,64,7,3,2019/4/23 21:00
3852,3852,,,,,,,2019/4/23 22:00
3853,3853,,,,,,,2019/4/23 23:00
3854,3854,33,56,1.23,51,8,2,2019/4/24 0:00
3855,3855,,,,,,,2019/4/24 1:00
3856,3856,,,,,,,2019/4/24 2:00
3857,3857,35,40,1.13,45,8,3,2019/4/24 3:00
3858,3858,,,,,,,2019/4/24 4:00
3859,3859,,,,,,,2019/4/24 5:00
3860,3860,,,,,,,2019/4/24 6:00
3861,3861,48,59,1.19,40,12,10,2019/4/24 7:00
3862,3862,48,62,1.2,35,13,18,2019/4/24 8:00
3863,3863,54,63,1.13,31,11,31,2019/4/24 9:00
3864,3864,51,62,1.12,31,10,44,2019/4/24 10:00
3865,3865,42,57,1.19,31,10,73,2019/4/24 11:00
3866,3866,40,56,1.4,34,11,95,2019/4/24 12:00
3867,3867,46,68,1.28,23,11,124,2019/4/24 13:00
3868,3868,38,51,1.12,22,9,111,2019/4/24 14:00
3869,3869,,,,,,,2019/4/24 15:00
3870,3870,32,47,1.04,22,10,92,2019/4/24 16:00
3871,3871,31,41,1.09,26,8,75,2019/4/24 17:00
3872,3872,,,,,,,2019/4/24 18:00
3873,3873,,,,,,,2019/4/24 19:00
3874,3874,35,44,1.11,33,9,45,2019/4/24 20:00
3875,3875,,,,,,,2019/4/24 21:00
3876,3876,,,,,,,2019/4/24 22:00
3877,3877,,,,,,,2019/4/24 23:00
3878,3878,42,52,0.93,33,10,18,2019/4/25 0:00
3879,3879,,,,,,,2019/4/25 1:00
3880,3880,34,46,0.97,26,10,19,2019/4/25 2:00
3881,3881,41,48,0.99,26,9,15,2019/4/25 3:00
3882,3882,,,,,,,2019/4/25 4:00
3883,3883,41,49,1.14,28,8,16,2019/4/25 5:00
3884,3884,,,,,,,2019/4/25 6:00
3885,3885,,,,,,,2019/4/25 7:00
3886,3886,71,110,1.47,35,9,34,2019/4/25 8:00
3887,3887,83,117,1.52,35,8,60,2019/4/25 9:00
3888,3888,93,115,1.66,41,8,81,2019/4/25 10:00
3889,3889,93,130,1.63,38,9,112,2019/4/25 11:00
3890,3890,,,,,,,2019/4/25 12:00
3891,3891,64,89,1.24,25,30,88,2019/4/25 13:00
3892,3892,57,102,1.06,23,23,59,2019/4/25 14:00
3893,3893,,,,,,,2019/4/25 15:00
3894,3894,,,,,,,2019/4/25 16:00
3895,3895,43,79,0.92,25,8,28,2019/4/25 17:00
3896,3896,,,,,,,2019/4/25 18:00
3897,3897,,,,,,,2019/4/25 19:00
3898,3898,23,38,0.86,24,6,41,2019/4/25 20:00
3899,3899,,,,,,,2019/4/25 21:00
3900,3900,,,,,,,2019/4/25 22:00
3901,3901,26,40,0.73,18,6,62,2019/4/25 23:00
3902,3902,19,32,0.76,17,7,62,2019/4/26 0:00
3903,3903,,,,,,,2019/4/26 1:00
3904,3904,31,41,0.77,17,8,60,2019/4/26 2:00
3905,3905,25,31,0.68,15,10,66,2019/4/26 3:00
3906,3906,,,,,,,2019/4/26 4:00
3907,3907,20,36,0.73,23,15,63,2019/4/26 5:00
3908,3908,,,,,,,2019/4/26 6:00
3909,3909,,,,,,,2019/4/26 7:00
3910,3910,22,44,0.67,25,11,65,2019/4/26 8:00
3911,3911,,,,,,,2019/4/26 9:00
3912,3912,,,,,,,2019/4/26 10:00
3913,3913,19,27,0.77,21,6,67,2019/4/26 11:00
3914,3914,,,,,,,2019/4/26 12:00
3915,3915,,,,,,,2019/4/26 13:00
3916,3916,18,35,0.71,24,6,62,2019/4/26 14:00
3917,3917,21,40,0.75,24,7,61,2019/4/26 15:00
3918,3918,,,,,,,2019/4/26 16:00
3919,3919,27,46,0.74,31,8,63,2019/4/26 17:00
3920,3920,17,47,0.78,37,9,48,2019/4/26 18:00
3921,3921,,,,,,,2019/4/26 19:00
3922,3922,20,50,0.74,42,8,39,2019/4/26 20:00
3923,3923,,,,,,,2019/4/26 21:00
3924,3924,,,,,,,2019/4/26 22:00
3925,3925,29,39,0.86,54,8,15,2019/4/26 23:00
3926,3926,21,38,0.81,49,9,22,2019/4/27 0:00
3927,3927,32,43,0.79,52,9,18,2019/4/27 1:00
3928,3928,,,,,,,2019/4/27 2:00
3929,3929,21,39,0.8,41,12,49,2019/4/27 3:00
3930,3930,25,50,0.79,33,11,65,2019/4/27 4:00
3931,3931,,,,,,,2019/4/27 5:00
3932,3932,,,,,,,2019/4/27 6:00
3933,3933,25,52,1.01,28,16,84,2019/4/27 7:00
3934,3934,,,,,,,2019/4/27 8:00
3935,3935,,,,,,,2019/4/27 9:00
3936,3936,25,71,1,24,11,110,2019/4/27 10:00
3937,3937,,,,,,,2019/4/27 11:00
3938,3938,,,,,,,2019/4/27 12:00
3939,3939,30,58,0.84,17,8,141,2019/4/27 13:00
3940,3940,,,,,,,2019/4/27 14:00
3941,3941,,,,,,,2019/4/27 15:00
3942,3942,32,61,0.87,25,10,114,2019/4/27 16:00
3943,3943,,,,,,,2019/4/27 17:00
3944,3944,,,,,,,2019/4/27 18:00
3945,3945,24,56,0.81,20,10,125,2019/4/27 19:00
3946,3946,,,,,,,2019/4/27 20:00
3947,3947,,,,,,,2019/4/27 21:00
3948,3948,25,29,0.92,21,8,89,2019/4/27 22:00
3949,3949,28,37,0.95,18,8,83,2019/4/27 23:00
3950,3950,,,,,,,2019/4/28 0:00
3951,3951,33,34,0.99,34,8,45,2019/4/28 1:00
3952,3952,37,44,1.06,34,8,32,2019/4/28 2:00
3953,3953,33,41,1.11,32,9,24,2019/4/28 3:00
3954,3954,41,43,0.97,24,10,37,2019/4/28 4:00
3955,3955,34,39,0.97,23,8,44,2019/4/28 5:00
3956,3956,,,,,,,2019/4/28 6:00
3957,3957,,,,,,,2019/4/28 7:00
3958,3958,,,,,,,2019/4/28 8:00
3959,3959,46,48,1.09,38,10,51,2019/4/28 9:00
3960,3960,55,60,1.08,35,10,72,2019/4/28 10:00
3961,3961,38,64,1.04,28,9,95,2019/4/28 11:00
3962,3962,,,,,,,2019/4/28 12:00
3963,3963,60,111,1.1,30,11,87,2019/4/28 13:00
3964,3964,60,86,1.02,28,8,89,2019/4/28 14:00
3965,3965,,,,,,,2019/4/28 15:00
3966,3966,,,,,,,2019/4/28 16:00
3967,3967,49,62,1.08,29,8,66,2019/4/28 17:00
3968,3968,,,,,,,2019/4/28 18:00
3969,3969,,,,,,,2019/4/28 19:00
3970,3970,33,43,1.06,22,7,60,2019/4/28 20:00
3971,3971,,,,,,,2019/4/28 21:00
3972,3972,,,,,,,2019/4/28 22:00
3973,3973,41,47,0.97,25,7,37,2019/4/28 23:00
3974,3974,34,49,0.94,22,7,41,2019/4/29 0:00
3975,3975,,,,,,,2019/4/29 1:00
3976,3976,,,,,,,2019/4/29 2:00
3977,3977,,,,,,,2019/4/29 3:00
3978,3978,,,,,,,2019/4/29 4:00
3979,3979,,,,,,,2019/4/29 5:00
3980,3980,,,,,,,2019/4/29 6:00
3981,3981,,,,,,,2019/4/29 7:00
3982,3982,,,,,,,2019/4/29 8:00
3983,3983,,,,,,,2019/4/29 9:00
3984,3984,,,,,,,2019/4/29 10:00
3985,3985,,,,,,,2019/4/29 11:00
3986,3986,,,,,,,2019/4/29 12:00
3987,3987,16,18,0.93,32,9,41,2019/4/29 13:00
3988,3988,,,,,,,2019/4/29 14:00
3989,3989,,,,,,,2019/4/29 15:00
3990,3990,39,80,0.8,31,12,45,2019/4/29 16:00
3991,3991,,,,,,,2019/4/29 17:00
3992,3992,,,,,,,2019/4/29 18:00
3993,3993,,,,,,,2019/4/29 19:00
3994,3994,,,,,,,2019/4/29 20:00
3995,3995,,,,,,,2019/4/29 21:00
3996,3996,38,41,0.92,38,6,20,2019/4/29 22:00
3997,3997,,,,,,,2019/4/29 23:00
3998,3998,,,,,,,2019/4/30 0:00
3999,3999,,,,,,,2019/4/30 1:00
4000,4000,20,20,0.62,10,6,48,2019/4/30 2:00
4001,4001,,,,,,,2019/4/30 3:00
4002,4002,,,,,,,2019/4/30 4:00
4003,4003,,,,,,,2019/4/30 5:00
4004,4004,,,,,,,2019/4/30 6:00
4005,4005,,,,,,,2019/4/30 7:00
4006,4006,,,,,,,2019/4/30 8:00
4007,4007,,,,,,,2019/4/30 9:00
4008,4008,28,35,0.46,15,5,87,2019/4/30 10:00
4009,4009,,,,,,,2019/4/30 11:00
4010,4010,,,,,,,2019/4/30 12:00
4011,4011,38,52,0.93,20,10,95,2019/4/30 13:00
4012,4012,,,,,,,2019/4/30 14:00
4013,4013,,,,,,,2019/4/30 15:00
4014,4014,,,,,,,2019/4/30 16:00
4015,4015,,,,,,,2019/4/30 17:00
4016,4016,,,,,,,2019/4/30 18:00
4017,4017,,,,,,,2019/4/30 19:00
4018,4018,,,,,,,2019/4/30 20:00
4019,4019,,,,,,,2019/4/30 21:00
4020,4020,38,75,1.22,81,9,2,2019/4/30 22:00
4021,4021,43,63,1.14,74,10,3,2019/4/30 23:00
4022,4022,38,61,1.01,66,10,3,2019/5/1 0:00
4023,4023,40,62,1.16,57,10,3,2019/5/1 1:00
4024,4024,37,60,0.92,66,10,3,2019/5/1 2:00
4025,4025,31,43,0.81,62,9,4,2019/5/1 3:00
4026,4026,30,37,0.82,54,9,6,2019/5/1 4:00
4027,4027,28,42,0.86,51,9,23,2019/5/1 5:00
4028,4028,44,59,0.86,32,12,52,2019/5/1 6:00
4029,4029,,,,,,,2019/5/1 7:00
4030,4030,,,,,,,2019/5/1 8:00
4031,4031,85,156,1.2,27,24,111,2019/5/1 9:00
4032,4032,58,147,0.81,16,18,135,2019/5/1 10:00
4033,4033,35,123,0.91,17,18,149,2019/5/1 11:00
4034,4034,32,103,0.85,12,15,147,2019/5/1 12:00
4035,4035,33,84,0.86,14,15,146,2019/5/1 13:00
4036,4036,29,59,0.67,13,12,147,2019/5/1 14:00
4037,4037,,,,,,,2019/5/1 15:00
4038,4038,31,70,0.67,11,7,157,2019/5/1 16:00
4039,4039,17,58,0.78,16,8,151,2019/5/1 17:00
4040,4040,,,,,,,2019/5/1 18:00
4041,4041,,,,,,,2019/5/1 19:00
